sepal_length,sepal_width,petal_length,petal_width,target
5.000430553675119,3.5045609381279643,1.404051750623224,0.1,setosa
4.840865225189897,3.052923705751238,1.5210502609091034,0.7190753359440867,setosa
4.827727718507035,3.182833785063021,1.6714447175648193,0.37491045285602126,setosa
5.036894987149265,3.0743361843521284,1.4897618621378543,0.4933561180604007,setosa
4.529524908450221,3.2398344836359234,0.8345720410697046,0.1,setosa
4.3553927367728935,3.3177181041238617,1.0563937314947038,0.3449425255875955,setosa
5.0548628803184785,3.3345741693795157,0.6191341012128205,0.1,setosa
4.983024669109625,3.4396581451011574,0.9644524820731123,0.1,setosa
4.657518322680176,3.1169069662010402,1.8713145181851276,0.1,setosa
4.9886174032690676,3.7095364535841107,1.2957398485398444,0.21090431764554413,setosa
5.038662450137318,3.4223236209892716,1.0712304607538075,0.2766490806319528,setosa
5.475588197609538,2.858499362655031,1.8007839408075594,0.29177390899380345,setosa
4.775485362062472,4.100145791219848,1.766790899229649,0.1,setosa
5.026080680070012,3.6018413542845646,1.4339262561272377,0.4890185935183221,setosa
4.976718937947704,3.633536646292015,2.003482907079653,0.1,setosa
5.071098513636363,3.237842348211555,1.5445439439290407,0.1,setosa
4.7972444412240645,3.331331409518426,1.8145673552351427,0.6508277026089462,setosa
4.536765272630511,3.1218751719045326,1.7264161979006976,0.1,setosa
4.837890547266672,3.3659495760154687,1.939955242050387,0.49129136519976446,setosa
4.885475302922231,3.270998437065014,1.4124316098187262,0.783235290159656,setosa
4.850191270099496,3.293711864072345,1.6234061735498428,0.2077303442197407,setosa
4.930950520211997,3.01007649989713,1.4959674861865082,0.1,setosa
5.408144721666578,3.628580975945407,1.4915497354465237,0.4839333581435703,setosa
4.8810456569003975,3.7682442254494313,1.4981101537649306,0.45418382396314483,setosa
4.54818736413678,3.52133801710745,0.9091285589217105,0.1,setosa
4.893433092800997,3.0850253373404914,1.557418478499278,1.0356648192701172,setosa
4.708896886505771,3.181619744744633,1.5718913811226447,0.42255465199432474,setosa
4.938257876932985,3.327924384411374,1.7458620342921904,0.43196767296186445,setosa
4.638213458774209,3.372286538484455,1.512350397031516,0.1,setosa
5.090943685236027,3.0997152329882094,1.8402233477709649,0.3174610694117753,setosa
5.031257270019168,3.193140076500304,1.458486561642807,0.1,setosa
4.60400738531693,3.5269939297160637,0.7550015353622493,0.5463129825184072,setosa
